PPSX00| xenon| 1.34| 3.2790697674418605| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1211.7295424034503, 38.97852140343899, 238.00336204618944, 0.973390216281669, 84.33376623176176, 0.50124055680917, 0.5149430808169603]
PPSX00| xenon| 1.34| 4.276162790697675| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1130.9038740970566, 47.44046414010557, 267.81187011837244, 0.9826159529958433, 90.76603929341262, 0.5034867991468601, 0.5123942854904879]
PPSX00| xenon| 1.34| 5.273255813953488| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1068.4446246687737, 55.27132374172447, 293.4243777095518, 0.987176262860895, 95.53744609504294, 0.5006850889543478, 0.5071891492845796]
PPSX00| xenon| 1.34| 6.270348837209303| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1015.9577670642715, 62.493718209012755, 314.67699707408815, 0.98966003865182, 99.23963448077647, 0.4945381758989413, 0.49970510739489266]
PPSX00| xenon| 1.34| 7.267441860465116| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [969.6924027933808, 69.1328667979874, 331.7877834201615, 0.9910536840867538, 102.46229399422167, 0.48734563402929015, 0.49174493960776144]
PPSX00| xenon| 1.34| 8.26453488372093| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [927.6961171387534, 75.21304360075558, 345.08735685023777, 0.9917652012775554, 105.15975650981086, 0.4785136406766678, 0.4824868225465703]
PPSX00| xenon| 1.34| 9.261627906976745| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [888.8059586323088, 80.7538605901944, 354.90449299606763, 0.9919682355061125, 107.5410111955174, 0.46883506404254605, 0.4726311259385655]
PPSX00| xenon| 1.34| 10.258720930232558| 137.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [852.2887892458008, 85.7726837686253, 361.5395533592079, 0.9917882745332988, 109.69726288548918, 0.4585868308412756, 0.4623837996643697]
PPSX00| xenon| 1.34| 3.2790697674418605| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1326.8517860095026, 42.68173625409777, 284.0861652910842, 0.9778076222088342, 80.81703283500318, 0.5259740604716374, 0.5379115978698139]
PPSX00| xenon| 1.34| 4.276162790697675| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1243.548414946587, 52.1658076667758, 322.44182820950385, 0.9868162010877366, 87.05305469134186, 0.5309892455115042, 0.5380832265686472]
PPSX00| xenon| 1.34| 5.273255813953488| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1180.4112382922608, 61.06342827102268, 356.6966589838833, 0.9911844702805004, 91.60821131069386, 0.5304039513506316, 0.535121329332904]
PPSX00| xenon| 1.34| 6.270348837209303| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1127.9767442142818, 69.38424320819978, 386.3613364654311, 0.9935880361867564, 95.3119042792412, 0.5273346442788015, 0.5307377153036519]
PPSX00| xenon| 1.34| 7.267441860465116| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1082.190825788165, 77.15328489085684, 411.6008841351067, 0.994995191710303, 98.39309943338498, 0.5222849372332308, 0.5249120212686378]
PPSX00| xenon| 1.34| 8.26453488372093| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1040.8662998057955, 84.3883260299787, 432.6299321068241, 0.9958633919922774, 101.0971038118321, 0.5161461278337784, 0.518290090773596]
PPSX00| xenon| 1.34| 9.261627906976745| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1002.7847556446169, 91.10958311295227, 449.76273939735677, 0.9963853212825106, 103.53207345765288, 0.5092389883446217, 0.5110864014828601]
PPSX00| xenon| 1.34| 10.258720930232558| 150.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [967.1103618774936, 97.32810320323914, 463.229326649919, 0.9966834834534738, 105.71961117014827, 0.5014996165970006, 0.5031683828644593]
PPSX00| xenon| 1.34| 3.2790697674418605| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1440.7574280121676, 46.345815860481636, 333.92446631306217, 0.9808264529223494, 77.36228244898463, 0.5467126885385465, 0.5574000241425269]
PPSX00| xenon| 1.34| 4.276162790697675| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1354.8756049334356, 56.83588943531393, 381.7218300575058, 0.9894961263767522, 83.37452077662053, 0.5540791214603354, 0.5599608797754594]
PPSX00| xenon| 1.34| 5.273255813953488| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1290.9492704420882, 66.7816313670608, 425.61564462681156, 0.9935451984952643, 87.76138446276774, 0.5557144041776944, 0.5593247343143828]
